ba05b3f264eb6598f2e8b6c2401121cc,奥迪,一汽-大众奥迪,奥迪A4L,1.8T,手动变速箱(MT),2010,A4L
351c67cdcc269c435a486fb7fa5f6d86,奥迪,一汽-大众奥迪,奥迪A4,1.8T,手动变速箱(MT),2003,A4
7edb35e7d9a5020e91924f8ef4bb8098,奥迪,一汽-大众奥迪,奥迪A4,1.8T,无级变速箱(CVT),2003,A4
26e6241d8e9a2bd307e33e4848ffd270,奥迪,一汽-大众奥迪,奥迪A4,2.4,无级变速箱(CVT),2003,A4
f164c3398711357373ddd0be7f71b035,奥迪,一汽-大众奥迪,奥迪A4,3,手自一体变速箱(AT),2007,A4
83fef48b464013c9384410bd6e96c939,奥迪,一汽-大众奥迪,奥迪A4,3,手自一体变速箱(AT),2003,A4
1438a817d315370a22303be2c2ca85c7,奥迪,一汽-大众奥迪,奥迪A6,1.8,手动变速箱(MT),2000,A6
e0fe85f49c3458a9ff914cca84ca32b2,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手动变速箱(MT),2005,A6
48bb50117b52a33b7aa2552a599f4554,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手动变速箱(MT),2003,A6
bdc5e66910725e07e7f7e5bfdde4711c,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手自一体变速箱(AT),2003,A6
7f409c1bc908426f50ec90212de1fe39,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手动变速箱(MT),2002,A6
a997af0274f4428d9046d1cc60ab6ba8,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手自一体变速箱(AT),2002,A6
4e269244ed783ed99d2a56d3d30b40e6,奥迪,一汽-大众奥迪,奥迪A6,1.8T,手动变速箱(MT),2000,A6
da88bc33cf28d7d33c98a038f2cc7e52,奥迪,一汽-大众奥迪,奥迪A6L,2.0T,手动变速箱(MT),2007,A6L
72b20671bd71ea6baa913ee224151234,奥迪,一汽-大众奥迪,奥迪A6L,2.0T,无级变速箱(CVT),2007,A6L
412a753a2045809f25ee0f2e64906566,奥迪,一汽-大众奥迪,奥迪A6L,2.4,无级变速箱(CVT),2007,A6L
a5c6692af02aaccf1b42c9d01b4fa97d,奥迪,一汽-大众奥迪,奥迪A6L,2.4,无级变速箱(CVT),2006,A6L
15a9c163c75ff5e7af15c05fd9029c4d,奥迪,一汽-大众奥迪,奥迪A6L,2.4,手动变速箱(MT),2005,A6L
32aa718f047541cefaedcbbf9fcee0a6,奥迪,一汽-大众奥迪,奥迪A6,2.4,手动变速箱(MT),2003,A6
e79567c549a685dd8f8cba99ab982b2c,奥迪,一汽-大众奥迪,奥迪A6,2.4,无级变速箱(CVT),2003,A6
bd5181d7fe0208b95adbeb39e6cdc1d9,奥迪,一汽-大众奥迪,奥迪A6,2.4,无级变速箱(CVT),2002,A6
73171a46c90938593a9ff721ab42faed,奥迪,一汽-大众奥迪,奥迪A6,2.4,无级变速箱(CVT),2001,A6
a9a4c5417c09f376083a66f9eb333666,奥迪,一汽-大众奥迪,奥迪A6,2.5TD,自动变速箱(AT),2004,A6
b5689028dcfa5e09a1e2320a6f82d582,奥迪,一汽-大众奥迪,奥迪A6L,2.8,无级变速箱(CVT),2007,A6L
5443624f5dec5cb24108c991bd3f8b29,奥迪,一汽-大众奥迪,奥迪A6,2.8,手自一体变速箱(AT),2004,A6
8ff552470799bcdfd5abaf875871aa7f,奥迪,一汽-大众奥迪,奥迪A6,2.8,手动变速箱(MT),2002,A6
2a51137ab60af2197d638d8663e1d457,奥迪,一汽-大众奥迪,奥迪A6,2.8,手自一体变速箱(AT),2002,A6
e302df397cc4f1064bb28bf8f71b0eae,奥迪,一汽-大众奥迪,奥迪A6,2.8,手自一体变速箱(AT),2001,A6
3e9a057ad2a67e4d6c3bf6c3f7fd87df,奥迪,一汽-大众奥迪,奥迪A6,2.8,手动变速箱(MT),2000,A6
5ced91d699b33004aa0c263f59953be1,奥迪,一汽-大众奥迪,奥迪A6,2.8,手自一体变速箱(AT),2000,A6
e6571911d80bc0da28bfe0ce46f5e21c,奥迪,一汽-大众奥迪,奥迪Q3,1.4T,双离合变速箱(DCT),2014,Q3
dc9ad4e1e92cce3fcacb822f86a9434f,奥迪,一汽-大众奥迪,奥迪Q3,1.4T,手动变速箱(MT),2014,Q3
584441ceb5cf9818ee09e68ad679a996,奥迪,一汽-大众奥迪,奥迪A6L,4.2,手自一体变速箱(AT),2007,A6L
c1b7811211fb0182efe45ef5ab2a46c4,奥迪,奥迪(进口),奥迪A1,1.2T,手动变速箱(MT),2011,A1 SPORTBACK
