dp_0001,Alpina进口AlpinaB4,3.0,2,301,4638,F32
dp_0002,阿尔法-罗密欧进口阿尔法-罗密欧Giulia,2.0,4,147,4643,952
dp_0003,阿尔法-罗密欧进口阿尔法-罗密欧Giulia,2.0,4,206,4643,952
dp_0004,阿尔法-罗密欧进口阿尔法-罗密欧Giulia,2.9,4,375,4639,952
dp_0005,阿尔法-罗密欧进口阿尔法-罗密欧Stelvio,2.0,5,147,4687,949
dp_0006,阿尔法-罗密欧进口阿尔法-罗密欧Stelvio,2.0,5,206,4687,949
dp_0007,阿尔法-罗密欧进口阿尔法-罗密欧Stelvio,2.9,5,375,4702,949
dp_0008,奥迪汽车进口奥迪A1,1.2,5,63,3952,8XA
dp_0009,奥迪汽车进口奥迪A1,1.4,3,90,3952,8X1
dp_0010,奥迪汽车进口奥迪A1,1.4,5,90,3952,8XA
dp_0011,奥迪汽车进口奥迪A1,1.4,3,90,3954,8X1
dp_0012,奥迪汽车进口奥迪A1,1.4,5,90,3954,8XA
dp_0013,奥迪汽车进口奥迪A1,1.4,5,92,3987,8XA
dp_0014,奥迪汽车进口奥迪A1,1.4,5,103,,8XA
dp_0015,奥迪汽车进口奥迪A1,1.4,,103,,8X1
dp_0016,奥迪汽车进口奥迪A1,1.4,3,136,3952,8X1
dp_0017,奥迪汽车进口奥迪A1,1.4,5,136,3952,8XA
dp_0018,奥迪汽车进口奥迪A1,1.6,3,66,3952,8X1
dp_0019,奥迪汽车进口奥迪A1,1.6,5,66,3952,8XA
dp_0020,奥迪汽车进口奥迪A1,1.6,3,77,3952,8X1
dp_0021,奥迪汽车进口奥迪A1,1.6,5,77,3952,8XA
dp_0022,奥迪汽车进口奥迪A1,2.0,3,105,3952,8X1
dp_0023,奥迪汽车进口奥迪A1,2.0,5,105,3952,8XA
dp_0024,奥迪汽车进口奥迪A2,1.2,5,45,3825,8Z0
dp_0025,奥迪汽车进口奥迪A2,1.4,5,55,3825,8Z0
dp_0026,奥迪汽车进口奥迪A2,1.4,5,66,3825,8Z0
dp_0027,奥迪汽车进口奥迪A2,1.6,5,81,3825,8Z0
dp_0028,奥迪汽车进口奥迪A3,1.4,5,90,4319,8V1
dp_0029,奥迪汽车进口奥迪A3,1.4,3,92,4239,8P1
dp_0030,奥迪汽车进口奥迪A3,1.4,5,92,4290,8PA
