805,"['S500 (221171/NG71)', 'S500 (221171/NG7B)']"
806,"['S 600 L (221176/NG7GB)', 'S600 (221176/NG76)', 'S600 (221176/NG7G)']"
961,['C 200 (204248/GH4JB)']
996,['SLK 200 (172448/PK4JA)']
1215,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
1226,"['PHAETON 4.2', 'PHAETON 4.2 C5']"
1309,['9-3 Linear']
1316,['9-3 Vector']
1540,['ASTRA GTC']
1541,['ASTRA GTC']
1668,['9-3 Linear']
1675,['Q7 4.2 quattro']
1725,"['S350 (221156/NG56)', 'S350 (221156/NG5G)']"
1727,"['SH99T1', 'SH99T1 H', 'SH9ET1H', 'SH9UT1H']"
1780,"['DISCOVERY 3', 'DISCOVERY 4 (BFKA)', 'DISCOVERY 4 (CFKA)']"
1781,"['DISCOVERY 3', 'DISCOVERY 4']"
1822,['XLR']
1845,"['S500 (221171/NG71)', 'S500 (221171/NG7B)']"
1905,['S8']
1978,['GEEGD2H']
1980,['PHAETON 6.0']
2033,"['SY 7162LSBBB', 'SY 7162V SB']"
2034,"['SY 7182D SBBB', 'SY 7182H SB']"
2035,"['SY 7182D SBBB', 'SY 7182H SB']"
2037,"['SY 7182C ZBBB', 'SY 7182C ZBBB1', 'SY 7182U ZB']"
2040,['AZERA 3.3 AT-4']
2054,['AZERA 3.3 AT-4']
2092,"['SY 7162LSBBB', 'SY 7162V SB']"
2170,['XC90 T5']
2172,['C 200 (204248/GH4JB)']
2201,['E350(207356/KJ5G)']
2202,['E350(207356/KJ5G)']
2205,"['PHAETON 4.2', 'PHAETON 4.2 C5']"
2206,['PHAETON 6.0']
2404,['ZAFIRA']
2405,"['SY 7181C ZBBB', 'SY 7181U ZB']"
2410,['ESCALADE']
2413,['9-5 Aero']
2415,"['FREELANDER 2', 'FREELANDER2(AFJB)']"
2591,['9-3 Vector']
2598,['Q7 3.6 quattro']
2620,['ASTRA GTC']
2686,"['S 600 L (221176/NG7GB)', 'S600 (221176/NG76)', 'S600 (221176/NG7G)']"
2694,['XC90 T5']
2720,"['TOUAREG 3.6', 'TOUAREG 3.6 C5']"
2721,"['TOUAREG 3.6', 'TOUAREG 3.6 C5']"
2722,"['TOUAREG 3.6', 'TOUAREG 3.6 C5']"
2723,"['TOUAREG 3.6', 'TOUAREG 3.6 C5']"
2756,['Compass(2.4L)']
2758,['AZERA 2.7 AT-4']
2783,['JB43V-5A']
2787,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
2788,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
2790,['JB43V-5M']
2795,['C 200 (204248/GH4JB)']
2815,['VERACRUZ 3.8 AT 4WD-4']
2816,['VERACRUZ 3.8 AT 4WD-4']
2886,"['SY 7181C SBBB', 'SY 7181U SB']"
2887,"['SY 7181C SBBB', 'SY 7181U SB']"
2888,"['SY 7181C ZBBB', 'SY 7181U ZB']"
2889,"['SY 7181D SBBB', 'SY 7181H SB']"
2890,"['SY 7181D SBBB', 'SY 7181H SB']"
2893,"['SY 7182C SBBB', 'SY 7182U SB']"
2894,"['SY 7182C SBBB', 'SY 7182U SB']"
2896,"['SY 7181C SBBB', 'SY 7181U SB']"
2897,"['SY 7182C SBBB', 'SY 7182U SB']"
3009,['ASTRA GTC']
3010,['ASTRA GTC']
3021,['A5 3.2']
3036,['Q7 3.6 quattro']
3037,['Q7 3.6 quattro']
3038,['Q7 3.6 quattro']
3039,['Q7 4.2 quattro']
3040,['Q7 4.2 quattro']
3041,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
3042,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
3043,"['NA4WLRGYL1C', 'NA4WLRPYL1C', 'NA4WLRUYQL1C']"
3129,['A5 3.2 quattro']
3198,"['SH99T1', 'SH99T1 H', 'SH9ET1H', 'SH9UT1H']"
3304,['Compass(2.4L)']
3403,['ESCALADE']
3411,['C 200 (204248/GH4JB)']
3419,"['V97WLYHYL1C', 'V97WLYXYL1C']"
3420,"['V97WLYHYL1C', 'V97WLYXYL1C']"
3421,"['V97WLYHYL1C', 'V97WLYXYL1C']"
3480,"['GE75F4H', 'GE75F4T', 'GH75W4H', 'GH75W4T', 'GH79W1H', 'GH79W1T', 'GH79W2H', 'GH79W2T', 'GH79W4H', 'GH79W4T', 'GH7AL5W']"
3481,"['GE75S4H', 'GE75S4T', 'GE7AS1H', 'GE7AS1T', 'GE7AS2H', 'GE7AS2T', 'GH75S4H', 'GH75S4T', 'GH79S1H', 'GH79S1T', 'GH79S2H', 'GH79S2T', 'GH79S4H', 'GH79S4T', 'GH7AL5S', 'GH7ALAS', 'GH7AS1H', 'GH7AS1T', 'GH7AS2H', 'GH7AS2T', 'GH7AS4H']"
3482,"['GE75S4H', 'GE75S4T', 'GE7AS1H', 'GE7AS1T', 'GE7AS2H', 'GE7AS2T', 'GH75S4H', 'GH75S4T', 'GH79S1H', 'GH79S1T', 'GH79S2H', 'GH79S2T', 'GH79S4H', 'GH79S4T', 'GH7AL5S', 'GH7ALAS', 'GH7AS1H', 'GH7AS1T', 'GH7AS2H', 'GH7AS2T', 'GH7AS4H']"
3483,['GEEGD2H']
3484,['9-3 Linear']
3485,['9-3 Vector']
3486,['9-3 Vector']
3487,['9-3 Vector']
3519,['S8']
3546,['R 500 4MATIC (251172/CB7CE)']
3577,"['WXF5U1H', 'WXFCL5U']"
3688,"['SH52W4', 'SH52W4H', 'SH52W4S', 'SH52W4T', 'SH53W1', 'SH53W1H', 'SH53W1T', 'SH5RW4H', 'SH5RW4T', 'SH5SW1H', 'SH5SW1T', 'SHJ1W4H', 'SHJ1W4T', 'SHJAW1H', 'SHJAW1T', 'SJ58A1H', 'SJ58A1T', 'SJ58AAH', 'SJ58AAT']"
