RQ000001,"{'-汽油-115-MT-两驱': '4650x1835x1715,1735'}"
RQ000002,{'-汽油-115-MT-两驱': '4650x1835x1715'}
RQ000003,{'1.0-汽油-52-MT-两驱': '3598x1630x1465'}
RQ000004,{'1.0-汽油-51-MT-两驱': '3795x1560x1925'}
RQ000005,"{'1.0-汽油-51-MT-两驱': '4390,4500,4280,4435x1560x1825,1855,1830,1865,1850,1880'}"
RQ000006,"{'1.0-汽油-51-MT-两驱': '4390,4500,4280x1560x1825,1855,1830,1865,1850,1880'}"
RQ000007,"{'1.0-汽油-51-MT-两驱': '4390x1560x1825,1855,1830,1865'}"
RQ000008,"{'1.0-汽油-51-MT-两驱': '4390x1560x1825,1855'}"
RQ000009,{'1.0-汽油-39-MT-两驱': '4450x1515x2380'}
RQ000010,"{'1.0-汽油-50-MT-两驱': '4120x1560x2220,2160'}"
RQ000011,"{'1.0-汽油-51-MT-两驱': '4545,4745,4995x1580x2470,2570'}"
RQ000012,"{'1.0-汽油-51-MT-两驱': '4220,4035x1560x2360,2330,2350,2375,2385'}"
RQ000013,"{'1.0-汽油-51-MT-两驱': '4220x1560x2360,2330'}"
RQ000014,"{'1.0-汽油-51-MT-两驱': '4170,3970x1560x2150,2300'}"
RQ000015,{'2.0-汽油-76-MT-两驱': '5350x1725x1690'}
RQ000016,"{'1.0-汽油-51-MT-两驱': '4625x1635x1890,1950,1870,1910'}"
RQ000017,"{'1.0-汽油-51-MT-两驱': '4625x1635x1890,1950'}"
RQ000018,"{'1.0-汽油-39-MT-两驱': '4080,3880x1485x1810,1850'}"
RQ000019,{'1.0-汽油-50-MT-两驱': '4010x1630x2350'}
RQ000020,"{'1.0-汽油-51-MT-两驱': '4830,5030,5280,5380x1650x2060'}"
RQ000021,{'1.0-汽油-51-MT-两驱': '4335x1560x2150'}
RQ000022,"{'1.0-汽油-51-MT-两驱': '4625,4425x1635x2460,2610,2480,2630'}"
RQ000023,"{'1.0-汽油-51-MT-两驱': '4645,4445x1635x2455,2605'}"
RQ000024,{'2.0-汽油-76-MT-两驱': '5145x1725x1690'}
RQ000025,{'1.0-汽油-39-MT-两驱': '3795x1560x1925'}
RQ000026,{'1.0-汽油-39-MT-两驱': '3725x1560x2100'}
RQ000027,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2105'}"
RQ000028,"{'1.0-汽油-39-MT-两驱': '4510x1560x1860,1890'}"
RQ000029,{'1.0-汽油-39-MT-两驱': '4510x1560x1860'}
RQ000030,{'1.0-汽油-39-MT-两驱': '4410x1560x1860'}
RQ000031,"{'1.0-汽油-51-MT-两驱': '3995x1645,1710,1735x1910'}"
RQ000032,"{'1.0-汽油-51-MT-两驱': '3995x1645,1710x1910'}"
RQ000033,"{'1.0-汽油-39-MT-两驱': '4410x1560x1860,1890'}"
RQ000034,{'1.0-汽油-39-MT-两驱': '4410x1560x1860'}
RQ000035,"{'1.0-汽油-46-MT-两驱': '4040,4070x1560x1925,1910'}"
RQ000036,{'1.0-汽油-46-MT-两驱': '4040x1560x1925'}
RQ000037,"{'1.0-汽油-39-MT-两驱': '4080,3880x1485,1530x1810,1850'}"
RQ000038,"{'1.0-汽油-39-MT-两驱': '4080,3880x1485x1810,1850'}"
RQ000039,"{'1.0-汽油-51-MT-两驱': '4545,4745,4995x1650x1985,2005'}"
RQ000040,"{'1.0-汽油-51-MT-两驱': '4545,4745,4995x1650x1985'}"
RQ000041,{'1.0-汽油-51-MT-两驱': '3935x1635x1950'}
RQ000042,"{'1.0-汽油-39-MT-两驱': '4440,4250x1560x2500'}"
RQ000043,"{'1.0-汽油-39-MT-两驱': '3607,3642x1528x2100'}"
RQ000044,"{'1.0-汽油-36-MT-两驱': '3845x1500,1580x2105'}"
RQ000045,{'1.0-汽油-39-MT-两驱': '4595x1560x2360'}
RQ000046,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x1900'}"
RQ000047,"{'1.0-汽油-39-MT-两驱': '4160,3980x1560x1860,1890'}"
RQ000048,"{'1.0-汽油-39-MT-两驱': '4160,3980x1560x1860'}"
RQ000049,"{'1.0-汽油-51-MT-两驱': '4565,4600x1560x2490,2520'}"
RQ000050,"{'1.0-汽油-51-MT-两驱': '4565x1560x2490,2520'}"
RQ000051,{'1.0-汽油-51-MT-两驱': '4565x1560x2490'}
RQ000052,"{'1.0-汽油-50.7-MT-两驱': '4380x1520,1580,1560x1860,1885'}"
RQ000053,"{'1.0-汽油-50.7-MT-两驱': '4380x1520,1580x1860,1885'}"
RQ000054,"{'1.0-汽油-50.7-MT-两驱': '4380x1520x1860,1885'}"
RQ000055,"{'1.0-汽油-51-MT-两驱': '4830,5030,5280,5380x1650x2350,2450'}"
RQ000056,{'1.0-汽油-39-MT-两驱': '3725x1560x2140'}
RQ000057,{'2.5-柴油-60-MT-两驱': '5400x1968x2800'}
RQ000058,"{'1.0-汽油-39-MT-两驱': '3845x1500,1580x2105'}"
RQ000059,"{'1.0-汽油-39-MT-两驱': '4538,4638x1635x1890,1950'}"
RQ000060,{'1.0-汽油-39-MT-两驱': '4538x1635x1890'}
